match_id,end_of_game_result,game_mode,game_name,duration_sec,game_version,win,game_ended_in_early_surrender,championName,lane,champ_level,gold_earned,items_purchased,items,item_names,item_icons,vision_score,damage_dealt,damage_dealt_to_champion,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,damage_taken,minions_killed,baron_kills,dragon_kills,first_bloodKill,first_tower_kill,kills,solo_kills,double_kills,triple_kills,quadra_kills,penta_kills,largest_multi_kill,kill_participation,deaths,assists
KR_7854091325,GameComplete,CLASSIC,teambuilder-match-7854091325,1034,15.19.715.1836,True,False,Annie,NONE,12,7360,15,3118;1082;2420;3020;1056;1011;3340,,,,69411,,2259,2259,2259,6453,154,0,0,False,False,2,1,0,0,0,0,1,0.2857142857142857,1,4
KR_7853949039,GameComplete,CLASSIC,teambuilder-match-7853949039,1136,15.19.715.1836,True,False,TahmKench,NONE,9,5465,18,3869;3076;3190;2055;1028;3047;3364,,,,12350,,0,0,0,14744,19,0,0,False,False,0,0,0,0,0,0,0,0.5714285714285714,3,12
KR_7852025214,GameComplete,CHERRY,teambuilder-match-7852025214,1391,15.19.715.1836,False,False,Bard,MIDDLE,14,10455,5,2049;226653;228001;447120;223137;223089;3348,,,,37267,,0,0,0,23555,0,0,0,False,False,4,1,0,0,0,0,1,0.24,6,2
KR_7851903870,GameComplete,CLASSIC,teambuilder-match-7851903870,2137,15.19.715.1836,True,False,Yone,MIDDLE,18,13945,29,6673;3006;3140;3031;1036;3153;3364,,,,231803,,4965,17148,4965,40583,259,0,0,False,False,3,1,0,0,0,0,1,0.3157894736842105,6,9
KR_7851809754,GameComplete,CLASSIC,teambuilder-match-7851809754,1427,15.19.715.1836,True,False,Ryze,MIDDLE,17,14007,23,3040;1026;3157;6657;4630;3158;3363,,,,180027,,4694,9385,4694,17346,235,0,0,False,False,12,1,1,0,0,0,2,0.6666666666666666,1,4
KR_7851300813,GameComplete,CLASSIC,teambuilder-match-7851300813,1340,15.19.715.1836,True,False,LeeSin,JUNGLE,14,8971,20,3173;6610;2055;3071;3340,,,,206817,,93,30085,93,28765,20,0,3,False,False,1,0,0,0,0,0,1,0.8571428571428571,1,17
KR_7851225074,GameComplete,CLASSIC,teambuilder-match-7851225074,969,15.19.715.1836,False,False,Yasuo,NONE,11,5570,14,3153;3006;2055;1018;3340,,,,61192,,0,0,0,10434,140,0,0,False,False,1,0,0,0,0,0,1,0.3333333333333333,2,1
KR_7851145201,GameComplete,CLASSIC,teambuilder-match-7851145201,972,15.19.715.1836,False,False,Leblanc,NONE,10,4863,13,2031;1082;6655;1001;1056;1052;3340,,,,42418,,0,0,0,12441,101,0,0,True,False,1,0,0,0,0,0,1,0.3333333333333333,3,3
KR_7850998706,GameComplete,CLASSIC,teambuilder-match-7850998706,1418,15.19.715.1836,False,False,Vex,TOP,14,9064,22,4629;3158;3108;2503;1056;1082;3364,,,,116825,,4649,4823,4649,16787,216,0,0,False,False,0,0,0,0,0,0,0,0.18181818181818182,6,2
KR_7818745957,GameComplete,CHERRY,teambuilder-match-7818745957,1478,15.18.710.2811,True,False,Pyke,MIDDLE,18,23950,25,226693;447115;224004;226697;4017;224403;3348,,,,256290,,0,0,0,66989,0,0,0,False,False,18,5,3,0,0,0,2,0.35526315789473684,7,9
KR_7818641248,GameComplete,CLASSIC,teambuilder-match-7818641248,1738,15.18.710.2811,False,False,Ryze,MIDDLE,15,10593,24,6657;3040;4632;1056;3158;3363,,,,157510,,0,181,0,34459,216,0,0,False,False,2,0,0,0,0,0,1,0.30434782608695654,9,5
KR_7817016103,GameComplete,CLASSIC,teambuilder-match-7817016103,1552,15.18.710.2811,False,False,Galio,MIDDLE,14,9230,23,1058;6664;2421;1082;1056;3111;3364,,,,101374,,1124,1124,1124,25484,199,0,0,False,False,2,1,0,0,0,0,1,0.5,6,6
KR_7816931606,GameComplete,CLASSIC,teambuilder-match-7816931606,1920,15.18.710.2811,False,False,Ryze,JUNGLE,17,14422,23,3040;6657;3157;3158;1056;3137;3340,,,,214627,,3904,6387,3904,39218,284,0,0,False,False,5,0,1,0,0,0,2,0.7058823529411765,6,7
KR_7816794932,GameComplete,CLASSIC,teambuilder-match-7816794932,917,15.18.710.2811,True,False,Lissandra,NONE,11,6045,13,2031;3158;2503;1052;1056;1082;3340,,,,65068,,1583,1583,1583,8858,136,0,0,False,False,2,2,1,0,0,0,2,0.15384615384615385,2,0
KR_7816733991,GameComplete,CLASSIC,teambuilder-match-7816733991,914,15.18.710.2811,True,False,Jayce,NONE,10,5672,12,3142;2031;3133;3070;1055;1001;3340,,,,72106,,2667,2907,2667,8318,140,0,0,False,False,1,1,0,0,0,0,1,0.05555555555555555,1,0
KR_7814349616,GameComplete,CLASSIC,teambuilder-match-7814349616,918,15.18.710.2811,True,False,Annie,NONE,11,7831,14,2031;3158;3116;1082;1056;3118;3340,,,,64286,,2474,2474,2474,7222,125,0,0,False,False,11,6,1,1,0,0,3,0.5652173913043478,0,2
KR_7814313545,GameComplete,CLASSIC,teambuilder-match-7814313545,1814,15.18.710.2811,False,False,Yone,MIDDLE,17,13384,26,6673;3153;2055;3031;2019;3006;3364,,,,168529,,91,9425,91,38390,230,0,0,False,False,9,2,2,1,0,0,3,0.46875,7,6
KR_7814259957,GameComplete,CLASSIC,teambuilder-match-7814259957,1433,15.18.710.2811,False,False,Ambessa,TOP,14,8307,22,2031;6692;3047;3071;3340,,,,97315,,1017,1017,1017,17402,183,0,0,False,False,2,0,0,0,0,0,1,0.2857142857142857,0,2
KR_7813048255,GameComplete,CLASSIC,teambuilder-match-7813048255,1594,15.18.710.2811,True,False,Aurora,TOP,16,12292,20,4633;3111;3108;6653;4630;3041;3364,,,,127637,,2913,4502,2913,20876,211,0,0,False,True,7,2,1,0,0,0,2,0.5714285714285714,1,5
KR_7813012807,GameComplete,CLASSIC,teambuilder-match-7813012807,1592,15.18.710.2811,False,False,Orianna,MIDDLE,16,10791,22,6657;1082;1058;3040;3158;1058;3363,,,,162865,,2690,3876,2690,16102,240,0,0,False,False,2,0,0,0,0,0,1,0.4666666666666667,2,5
KR_7812983511,GameComplete,CLASSIC,teambuilder-match-7812983511,1346,15.18.710.2811,False,False,Aatrox,TOP,14,8477,18,3053;6610;2055;3047;1054;3340,,,,76510,,0,274,0,28286,158,0,0,False,False,5,2,0,0,0,0,1,0.5,5,2
KR_7809887199,GameComplete,CLASSIC,teambuilder-match-7809887199,1804,15.18.710.2811,True,False,Orianna,TOP,18,16118,26,3108;3040;3157;3171;3089;3041;3363,,,,231421,,8066,19139,8066,19665,272,1,0,False,True,11,2,1,0,0,0,2,0.6829268292682927,2,17
KR_7808755194,GameComplete,CLASSIC,teambuilder-match-7808755194,1440,15.18.710.2811,True,False,TwistedFate,MIDDLE,16,11470,20,3100;1082;3094;3010;1056;6657;3363,,,,127933,,6321,8172,6321,20913,202,0,0,False,False,2,0,0,0,0,0,1,0.5161290322580645,3,14
KR_7808589076,GameComplete,CLASSIC,teambuilder-match-7808589076,1998,15.18.710.2811,True,False,Yone,MIDDLE,17,11772,27,3153;3006;1038;6673;1037;1018;3364,,,,187895,,259,14159,259,35312,235,0,0,False,False,3,1,0,0,0,0,1,0.2608695652173913,6,3
KR_7808378205,GameComplete,CHERRY,teambuilder-match-7808378205,1461,15.18.710.2811,True,False,Diana,TOP,18,25030,28,223115;223111;223157;223089;444637;223137;3348,,,,222643,,0,0,0,50375,3,0,0,False,False,15,0,3,0,0,0,2,0.3275862068965517,6,4
KR_7808219654,GameComplete,CHERRY,teambuilder-match-7808219654,1422,15.18.710.2811,True,False,Fizz,TOP,18,23100,19,447112;446667;447100;223089;444637;223135;3348,,,,155852,,0,0,0,40194,0,0,0,False,False,15,5,2,0,0,0,2,0.328125,4,6
KR_7807052687,GameComplete,CLASSIC,teambuilder-match-7807052687,1855,15.18.710.2811,False,False,Braum,BOTTOM,14,10783,31,3869;3107;3190;2055;3109;3174;3364,,,,22536,,113,967,113,34917,30,0,0,False,False,4,0,0,0,0,0,1,0.7857142857142857,8,29
KR_7807007974,GameComplete,CLASSIC,teambuilder-match-7807007974,1676,15.18.710.2811,False,False,Taliyah,MIDDLE,15,9102,19,3041;2420;3040;1056;3111;3363,,,,130125,,568,2878,568,18287,212,0,0,False,False,0,0,0,0,0,0,0,0.5294117647058824,6,9
KR_7806984310,GameComplete,CHERRY,teambuilder-match-7806984310,1441,15.18.710.2811,False,False,Renata,BOTTOM,16,10820,7,223107;4016;223109;447102;226616;223504;3348,,,,63931,,0,0,0,48481,1,0,0,False,False,1,0,0,0,0,0,1,0.2857142857142857,4,11
KR_7806934322,GameComplete,CHERRY,teambuilder-match-7806934322,1454,15.18.710.2811,True,False,Smolder,BOTTOM,18,33820,31,223094;223033;223139;223031;223095;223072;3348,,,,231539,,0,0,0,42337,2,0,0,False,False,14,2,3,1,0,0,3,0.2608695652173913,6,4
KR_7806815627,GameComplete,CLASSIC,teambuilder-match-7806815627,1603,15.18.710.2811,True,False,Tristana,TOP,14,11715,22,3032;3006;1037;1053;1055;3031;3340,,,,132684,,4073,11987,4073,23200,174,0,1,False,False,5,0,0,0,0,0,1,0.6296296296296297,3,12
KR_7806577625,GameComplete,CLASSIC,teambuilder-match-7806577625,1419,15.18.710.2811,True,False,Galio,MIDDLE,15,12461,21,3152;3020;3157;3041;1056;1058;3340,,,,116008,,5389,5389,5389,21323,198,0,0,False,False,8,1,1,1,0,0,3,0.48,4,4
KR_7805499358,GameComplete,CLASSIC,teambuilder-match-7805499358,1628,15.18.710.2811,True,False,Cassiopeia,MIDDLE,18,12665,23,3040;3041;3157;3108;1056;6657;3364,,,,153064,,2532,8405,2532,29503,237,1,0,True,False,5,0,0,0,0,0,1,0.5161290322580645,4,11
KR_7805435642,GameComplete,CLASSIC,teambuilder-match-7805435642,2486,15.18.710.2811,True,False,Morgana,MIDDLE,18,16087,29,2503;6653;1058;1058;4628;3171;3363,,,,187053,,2311,4751,2311,33431,289,0,0,False,False,4,0,1,0,0,0,2,0.5,6,11
KR_7805384817,GameComplete,CLASSIC,teambuilder-match-7805384817,1632,15.18.710.2811,False,False,Orianna,MIDDLE,15,10407,20,1058;3158;3137;2503;1056;1082;3340,,,,129155,,1615,1869,1615,22251,237,0,0,False,False,1,0,0,0,0,0,1,0.5,7,1
KR_7805316597,GameComplete,CLASSIC,teambuilder-match-7805316597,1393,15.18.710.2811,False,False,Orianna,MIDDLE,13,9665,19,3916;3158;3157;2503;1056;1082;3363,,,,123276,,4660,4660,4660,17136,212,0,0,False,False,3,1,0,0,0,0,1,0.5,6,4
KR_7805263050,GameComplete,CHERRY,teambuilder-match-7805263050,1499,15.18.710.2811,False,False,Jhin,BOTTOM,15,10300,9,223031;443056;223005;226676;223032;223033;3348,,,,104105,,0,0,0,28186,0,0,0,False,False,5,2,0,0,0,0,1,0.22580645161290322,10,2
KR_7805183938,GameComplete,CHERRY,teambuilder-match-7805183938,1678,15.18.710.2811,False,False,Qiyana,BOTTOM,18,13430,18,447112;223111;223185;3348,,,,112646,,0,0,0,40298,0,0,0,False,False,4,0,0,0,0,0,1,0.40540540540540543,8,11
KR_7802876376,GameComplete,CLASSIC,teambuilder-match-7802876376,1239,15.17.708.5788,False,False,Taliyah,MIDDLE,13,8085,19,3040;3108;3108;1082;1056;3158;3363,,,,103508,,1560,5247,1560,13519,178,0,0,False,False,4,1,1,0,0,0,2,0.4444444444444444,4,4
KR_7802850057,GameComplete,CLASSIC,teambuilder-match-7802850057,1161,15.17.708.5788,True,False,Galio,NONE,13,8548,15,3152;1058;2420;1082;1056;3158;3340,,,,100594,,1460,1460,1460,11005,189,0,0,False,False,3,1,0,0,0,0,1,0.4,1,7
KR_7802814583,GameComplete,CLASSIC,teambuilder-match-7802814583,1419,15.17.708.5788,False,False,Azir,TOP,13,8466,19,2031;3115;1082;3020;1056;3116;3363,,,,98511,,3367,3367,3367,24122,173,0,0,False,False,2,0,0,0,0,0,1,0.25,6,1
KR_7802772160,GameComplete,CLASSIC,teambuilder-match-7802772160,1419,15.17.708.5788,True,False,Ryze,MIDDLE,16,12230,23,3040;4632;1052;6657;1058;3111;3363,,,,161892,,7032,16432,7032,20270,203,0,0,False,False,7,0,0,0,0,0,1,0.525,3,14
KR_7802727004,GameComplete,CLASSIC,teambuilder-match-7802727004,1037,15.17.708.5788,True,False,Yone,NONE,12,7244,14,3006;3153;1018;1054;1036;3364,,,,64837,,131,2862,131,15236,130,0,0,False,False,4,1,0,0,0,0,1,0.6470588235294118,3,7
KR_7802673293,GameComplete,CHERRY,teambuilder-match-7802673293,1366,15.17.708.5788,False,False,Olaf,MIDDLE,13,7748,10,443064;3348,,,,35724,,0,0,0,16232,0,0,0,False,False,3,0,0,0,0,0,1,0.08888888888888889,8,1
KR_7802536455,GameComplete,CHERRY,teambuilder-match-7802536455,1388,15.17.708.5788,True,False,Yorick,BOTTOM,18,19180,23,447122;443056;223071;447111;447112;447103;3348,,,,155124,,0,0,0,89857,1,0,0,False,False,10,4,1,0,0,0,2,0.2535211267605634,5,8
KR_7802452290,GameComplete,CLASSIC,teambuilder-match-7802452290,1683,15.17.708.5788,False,False,Orianna,MIDDLE,16,11600,21,4645;1082;2420;2503;1058;3020;3363,,,,133155,,1468,2381,1468,27223,240,0,0,False,False,4,1,0,0,0,0,1,0.45,7,5
KR_7801651104,GameComplete,CHERRY,teambuilder-match-7801651104,1331,15.17.708.5788,True,False,Ornn,BOTTOM,18,18106,18,447119;226665;228001;443061;443059;223084;3348,,,,94922,,0,0,0,32853,0,0,0,False,False,10,2,2,0,0,0,2,0.275,2,12
KR_7801582199,GameComplete,CLASSIC,teambuilder-match-7801582199,2110,15.17.708.5788,False,False,Galio,MIDDLE,18,16397,30,3152;1058;3157;3020;4633;8010;3363,,,,205044,,1898,1898,1898,48005,282,0,0,False,False,7,2,1,0,0,0,2,0.8108108108108109,9,23
KR_7801528221,GameComplete,CLASSIC,teambuilder-match-7801528221,1474,15.17.708.5788,True,False,Morgana,MIDDLE,15,11060,23,3152;2503;3158;1082;6653;1052;3364,,,,113723,,3628,10032,3628,22118,191,0,0,True,False,6,0,0,0,0,0,1,0.4722222222222222,3,11
KR_7801460499,GameComplete,CHERRY,teambuilder-match-7801460499,1596,15.17.708.5788,False,False,Amumu,BOTTOM,16,10404,7,223039;223020;228001;443061;228020;223065;3348,,,,57044,,0,0,0,39702,1,0,0,False,False,1,0,0,0,0,0,1,0.21875,6,6
KR_7801413028,GameComplete,CHERRY,teambuilder-match-7801413028,1520,15.17.708.5788,True,False,Zyra,TOP,18,23110,21,447104;447108;4015;3430;223089;224645;3348,,,,77954,,0,0,0,17209,0,0,0,False,False,10,1,1,0,0,0,2,0.2465753424657534,5,8
KR_7801352091,GameComplete,CHERRY,teambuilder-match-7801352091,1619,15.17.708.5788,True,False,Xerath,TOP,18,25950,25,447113;223089;447120;223135;223102;224645;3348,,,,233539,,0,0,0,27252,0,0,0,True,False,14,0,2,0,0,0,2,0.28,4,7
KR_7800410070,GameComplete,CLASSIC,teambuilder-match-7800410070,1213,15.17.708.5788,True,False,MonkeyKing,JUNGLE,12,7624,20,3047;3078;2055;2021;3133;1028;3364,,,,165462,,0,21689,0,22838,10,0,3,False,False,2,0,0,0,0,0,1,0.35,1,5
KR_7800340103,GameComplete,CLASSIC,teambuilder-match-7800340103,2679,15.17.708.5788,True,False,Taliyah,MIDDLE,18,21439,31,3102;3040;3157;3137;3089;3171;3363,,,,337323,,2542,19223,2542,41352,304,1,1,False,True,10,0,1,0,0,0,2,0.5740740740740741,5,21
KR_7800259728,GameComplete,CLASSIC,teambuilder-match-7800259728,943,15.17.708.5788,True,False,Taliyah,NONE,11,5838,17,3040;2022;2055;1001;1056;1082;3363,,,,66443,,894,1035,894,7898,122,0,0,False,False,2,0,0,0,0,0,1,0.3333333333333333,3,4
KR_7799956621,GameComplete,CLASSIC,teambuilder-match-7799956621,1667,15.17.708.5788,True,False,TwistedFate,MIDDLE,18,15970,26,3094;6657;3157;3173;1058;3100;3340,,,,201765,,4083,8617,4083,21698,272,0,0,False,False,7,2,0,0,0,0,1,0.6923076923076923,1,11
KR_7799904113,GameComplete,CHERRY,teambuilder-match-7799904113,1553,15.17.708.5788,True,False,Udyr,BOTTOM,15,11680,8,226676;226694;224004;226697;223026;443090;3348,,,,198994,,0,0,0,19742,1,0,0,False,False,3,0,1,0,0,0,2,0.0945945945945946,5,4
KR_7798700269,GameComplete,CLASSIC,teambuilder-match-7798700269,1316,15.17.708.5788,True,False,Aurora,MIDDLE,15,10918,18,3108;6653;2421;3041;3113;3111;3340,,,,108608,,1349,1349,1349,17698,194,0,0,False,False,9,1,1,0,0,0,2,0.4857142857142857,0,8
KR_7798660398,GameComplete,CLASSIC,teambuilder-match-7798660398,919,15.17.708.5788,True,False,Leblanc,NONE,11,5296,15,2031;6655;2055;3020;1056;1082;3364,,,,54658,,441,441,441,6791,142,0,0,False,False,0,0,0,0,0,0,0,0,0,0
KR_7798579670,GameComplete,CLASSIC,teambuilder-match-7798579670,1630,15.17.708.5788,False,False,MonkeyKing,JUNGLE,13,9072,21,6610;3078;3047;1028;2022;3364,,,,155696,,0,10626,0,34386,10,0,1,False,False,4,1,0,0,0,0,1,0.5,6,4
KR_7798511373,GameComplete,CLASSIC,teambuilder-match-7798511373,1625,15.17.708.5788,False,False,Azir,MIDDLE,16,11948,21,3020;3115;3157;1082;1056;3116;3363,,,,162577,,831,3258,831,18444,285,0,0,False,False,2,1,0,0,0,0,1,0.8571428571428571,5,4
KR_7798409344,GameComplete,CLASSIC,teambuilder-match-7798409344,1750,15.17.708.5788,False,False,Yone,MIDDLE,16,10567,26,3153;3006;1036;2019;1036;6673;3364,,,,161869,,365,6040,365,30907,225,0,0,False,False,1,0,0,0,0,0,1,0.36363636363636365,6,7
KR_7798131676,GameComplete,CHERRY,teambuilder-match-7798131676,1457,15.17.708.5788,True,False,Neeko,TOP,18,22850,23,223115;223089;443056;223124;223302;223006;3348,,,,277442,,0,0,0,78071,0,0,0,False,False,13,2,3,0,0,0,2,0.32432432432432434,6,11
KR_7797318305,GameComplete,CLASSIC,teambuilder-match-7797318305,101,15.17.708.5788,True,True,Aurora,NONE,1,503,3,2003;1056;3340,,,,352,,0,0,0,167,0,0,0,False,False,0,0,0,0,0,0,0,,0,0
KR_7796799935,GameComplete,CLASSIC,teambuilder-match-7796799935,1174,15.17.708.5788,True,False,Aurora,NONE,13,9782,18,3118;3157;1082;1056;3175;3364,,,,101437,,4764,4764,4764,15342,181,0,0,False,False,6,2,1,0,0,0,2,0.46153846153846156,2,6
KR_7796748178,GameComplete,CHERRY,teambuilder-match-7796748178,1430,15.17.708.5788,True,False,Seraphine,BOTTOM,18,25700,29,223116;223089;447108;226657;226653;223137;3348,,,,184190,,0,0,0,37368,0,0,0,False,False,16,0,4,0,0,0,2,0.2692307692307692,4,5
KR_7796694312,GameComplete,CHERRY,teambuilder-match-7796694312,1634,15.17.708.5788,False,False,Aatrox,MIDDLE,16,11760,9,447111;223072;443063;226333;223156;223026;3348,,,,101998,,0,0,0,47909,3,0,0,False,False,9,0,2,0,0,0,2,0.325,6,4
KR_7796584323,GameComplete,CLASSIC,teambuilder-match-7796584323,1368,15.17.708.5788,True,False,Orianna,TOP,15,10768,20,4630;6657;1058;3171;1056;3040;3363,,,,102219,,3395,3395,3395,19339,172,0,0,False,True,5,1,0,0,0,0,1,0.5862068965517241,3,12
KR_7793463167,GameComplete,CLASSIC,teambuilder-match-7793463167,1145,15.17.708.5788,False,False,Annie,NONE,12,7194,16,1011;3118;3158;1026;1056;1082;3363,,,,66014,,1962,1962,1962,10642,160,0,0,False,False,1,0,0,0,0,0,1,0.5,4,1
KR_7790857706,GameComplete,CHERRY,teambuilder-match-7790857706,1765,15.17.708.5788,True,False,Lux,BOTTOM,18,33789,35,443080;447113;443064;223089;444637;223135;3348,,,,217904,,0,0,0,39805,0,0,0,False,False,19,2,4,0,0,0,2,0.3448275862068966,3,11
KR_7790780213,GameComplete,CHERRY,teambuilder-match-7790780213,1312,15.17.708.5788,True,False,Ambessa,TOP,18,20100,18,226609;226333;446691;223071;223053;447111;3348,,,,349380,,0,0,0,60652,0,0,0,False,False,16,2,3,0,0,0,2,0.2857142857142857,2,6
KR_7790073239,GameComplete,CHERRY,teambuilder-match-7790073239,1488,15.17.708.5788,False,False,Kalista,BOTTOM,16,13075,9,223031;443069;223139;223036;223172;223085;3348,,,,183578,,0,0,0,40790,1,0,0,False,False,9,1,1,0,0,0,2,0.2765957446808511,7,4
KR_7790018138,GameComplete,CHERRY,teambuilder-match-7790018138,1481,15.17.708.5788,True,False,Sejuani,BOTTOM,17,14074,9,447122;223047;223143;446667;223084;223110;3348,,,,85431,,0,0,0,56281,0,0,0,False,False,14,1,4,0,0,0,2,0.2,6,1
KR_7786370465,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7786370465,90,15.17.708.2856,False,False,Lucian,NONE,18,30500,7,3508;3031;6675;3158;6672;3071;3340,,,,52269,,0,0,0,0,0,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7786363766,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7786363766,137,15.17.708.2856,False,False,Lucian,NONE,18,30786,6,3508;3031;6675;3158;6672;3071;3340,,,,87063,,0,0,0,45,12,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7786357956,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7786357956,198,15.17.708.2856,False,False,Azir,NONE,13,10854,3,3115;3020;3116;3340,,,,89956,,0,0,0,19,8,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7786357580,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7786357580,218,15.17.708.2856,False,False,Lucian,NONE,18,31162,7,3508;3031;6675;3158;6672;3071;3340,,,,268124,,0,0,0,92,22,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7786227977,GameComplete,CLASSIC,teambuilder-match-7786227977,1641,15.17.708.2856,True,False,Azir,MIDDLE,17,13957,29,1058;3115;3157;3175;8010;1026;3340,,,,168812,,3728,13930,3728,21145,251,0,0,False,False,7,1,1,0,0,0,2,0.4722222222222222,3,10
KR_7786154696,GameComplete,CLASSIC,teambuilder-match-7786154696,1906,15.17.708.2856,False,False,Orianna,MIDDLE,17,14893,23,2055;3040;3157;6657;3137;3111;3364,,,,199145,,3520,7270,3520,31808,256,0,0,True,False,8,1,0,0,0,0,1,0.64,4,8
KR_7786131695,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7786131695,101,15.17.708.2856,False,False,Yone,NONE,18,30503,6,3006;3153;6673;3031;6672;3033;3340,,,,137244,,0,0,0,11,0,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7786057664,GameComplete,CLASSIC,teambuilder-match-7786057664,1417,15.17.708.2856,True,False,Yone,TOP,15,8821,18,3153;6333;2055;3006;1055;3363,,,,144301,,2521,4338,2521,16257,202,0,0,False,False,0,0,0,0,0,0,0,0.20833333333333334,3,5
KR_7786005271,GameComplete,CHERRY,teambuilder-match-7786005271,1554,15.17.708.2856,False,False,Kalista,BOTTOM,15,11070,9,223153;223085;223139;223036;223031;443055;3348,,,,150461,,0,0,0,21989,0,0,0,False,False,4,0,1,0,0,0,2,0.19230769230769232,9,1
KR_7785980615,Abort_TooFewPlayers,PRACTICETOOL,teambuilder-match-7785980615,217,15.17.708.2856,False,False,Lucian,NONE,18,20823,6,3508;3031;6675;3158;6672;3071;3340,,,,266109,,0,0,0,5,4,0,0,False,False,0,,0,0,0,0,0,,0,0
KR_7785751949,GameComplete,CHERRY,teambuilder-match-7785751949,1238,15.17.708.2856,True,False,Janna,BOTTOM,18,23402,20,223504;447109;447105;4011;224403;447101;3348,,,,156051,,0,0,0,32922,0,0,0,False,False,6,0,0,0,0,0,1,0.24285714285714285,5,11
